code,name,city,country
EYW,Key West International Airport,Stock Island,US
EZE,Ministro Pistarini Airport,Ezeiza,AR
EZS,Elazig Airport,Mollakendi,TR
EZV,Berezovo,Berezovo,RU
FAA,Faranah,Faranah,GN
FAB,Farnborough,Farnborough,GB
FAC,Faaite,,PF
FAE,Vagar Airport,Midvagur,FO
FAF,Felker AAF,,US
FAG,Fagurholsmyri,,IS
FAH,Farah,Farah,AF
FAI,Fairbanks International Airport,,US
FAJ,Diego Jimenez Torres,Luis M. Cintron,PR
FAK,False Island,,US
FAL,Falcon State,Nueva Ciudad Guerrero,US
FAM,Regional,Farmington,US
FAO,Faro Airport,,PT
FAQ,Freida River,,PG
FAR,Hector International Airport,Oakport,US
FAS,Faskrudsfjordur,Eskifjoerdur,IS
FAT,Fresno Yosemite International Airport,Sunnyside,US
FAU,Fahud,,OM
FAV,Fakarava Airport,,PF
FAY,Fayetteville Regional Airport,Hope Mills,US
FAZ,Fasa,Fasa,IR
FBA,Fonte Boa,,BR
FBD,Faizabad Airport,Fayzabad,AF
FBE,Francisco Beltrao,Francisco Beltrao,BR
FBG,Simmons AAF,Fort Bragg,US
FBK,Ft Wainwright,,US
FBL,Municipal,Faribault,US
FBM,Lubumbashi International Airport,Lubumbashi,CD
FBR,Fort Bridger,Mountain View,US
FBS,Friday Harbor SPB,,US
FBY,Municipal,Fairbury,US
FCA,Glacier Park International Airport,Evergreen,US
FCB,Ficksburg Sentra Oes,Ficksburg,ZA
FCH,Fresno-Chandler,Fresno,US
FCM,Flying Cloud Airport,,US
FCN,Cuxhaven/Nordholz,Midlum,DE
FCO,Leonardo da Vinci-Fiumicino Airport,Fiumicino-Isola Sacra,IT
FCS,Butts AAF,Colorado Springs,US
FCT,Firing Center AAF,,US
FCY,Municipal,Forrest City,US
FDE,Bringeland Airport,Sande,NO
FDF,Martinique Aime Cesaire International Airport,Le Lamentin,MQ
FDH,Friedrichshafen Airport,Friedrichshafen,DE
FDK,Frederick Municipal,Frederick,US
FDR,Municipal,Frederick,US
FDU,Bandundu,Bandundu,CD
FDY,Findlay,Paulding,US
FEA,Fetlar,,GB
FEB,Sanfebagar,Achham,NP
FEC,Feira De Santana,Feira de Santana,BR
FEG,Fergana Airport,Fergana,UZ
FEJ,Feijo,Feijo,BR
FEK,Ferkessedougou,Ferkessedougou,CI
FEL,Fuerstenfeldbruck,Maisach,DE
FEN,Fernando De Noronha Airport,Fernando de Noronha (Distrito Estadual),BR
FEP,Albertus,Freeport,US
FES,San Fernando,San Fernando,ES
FET,Municipal,Fremont,US
FEW,Warren AFB,Cheyenne,US
FEZ,Fes-Saiss Airport,Oulad Tayeb,MA
FFA,First Flight,Kill Devil Hills,US
FFD,Fairford RAF Station,Fairford,GB
FFL,Municipal,Fairfield,US
FFM,Fergus Falls,Fergus Falls,US
FFO,Patterson AFB,Dayton,US
FFT,Capital City,Frankfort,US
FFU,Futaleufu,Futaleufu,CL
FGD,Fderik,,MR
FGI,Fagali I Airport,Apia,WS
FGL,Fox Glacier,,NZ
FGR,Fuengirola,Fuengirola,ES
FGU,Fangatau,,PF
FHU,Municipal,Huachuca City,US
FHZ,Fakahina,,PF
FIC,Fire Cove,,US
FID,Elizabeth Field,,US
FIE,Fair Isle,,GB
FIG,Fria,Fria,GN
FIH,N'djili Airport,Masina,CD
FIK,Finke,,AU
FIL,Municipal,Fillmore,US
FIN,Finschhafen,,PG
FIV,Five Finger,,US
FIZ,Fitzroy Crossing,,AU
FJR,Al-Fujairah International,Al Fujayrah,AE
FKB,Baden-Airpark,Hugelsheim,DE
FKI,Bangoka International Airport,Kisangani,CD
FKJ,Fukui,Maruoka,JP
FKL,Venango Regional Airport,Franklin,US
FKN,Municipal,Franklin,US
FKQ,Fak Fak Airport,Fakfak,ID
FKS,Fukushima Airport,Sukagawa,JP
FLA,Capitolio Airport,Florencia,CO
FLB,Cangapara,Floriano,BR
FLC,Falls Creek,Maryborough,AU
FLD,Fond Du Lac,North Fond du Lac,US
FLF,Schaferhaus,Harrislee,DE
FLG,Flagstaff Pulliam Airport,Kachina Village,US
FLH,Flotta,,GB
FLI,Flateyri,,IS
FLJ,Falls Bay,,US
FLL,Fort Lauderdale-Hollywood International Airport,,US
FLM,Filadelfia,Filadelfia,PY
FLN,Hercilio Luz International Airport,Carianos,BR
FLO,Florence Airport,Florence,US
FLP,Flippin,Flippin,US
FLR,Firenze-Peretola Airport,Sesto Fiorentino,IT
FLS,Flinders Island Airport,Bridport,AU
FLT,Flat,,US
FLU,Flushing,,US
FLV,Sherman AAF,Weston,US
FLW,Santa Cruz Airport,,PT
FLX,Fallon Municipal Airport,,US
FLY,Finley,,AU
FLZ,Ferdinand Lumban Tobing Airport,Batangtoru,ID
FMA,El Pucu Airport,Formosa,AR
FMC,Five Mile,,US
FME,Tipton AAF,Laurel,US
FMG,Flamingo,Sardinal,CR
FMH,Otis AFB,Forestdale,US
FMI,Kalemie Airport,Kalemie,CD
FMM,Memmingen Allgau Airport,Memmingerberg,DE
FMN,Four Corners Regional Airport,Farmington,US
FMO,Munster Osnabruck International Airport,Ladbergen,DE
FMS,Municipal,Fort Madison,US
FMU,Florence Municipal,Florence,US
FMY,Page Field,Pine Manor,US
FNA,Lungi International Airport,Masoyila,SL
FNB,Neubrandenburg,Trollenhagen,DE
FNC,Madeira Airport,Machico,PT
FND,Funadhoo Airport,Funadhoo,MV
FNE,Fane,,PG
FNG,Fada Ngourma,Fada N'gourma,BF
FNH,Fincha,Shambu,ET
FNI,Garons Airport,Garons,FR
FNJ,Pyongyang Sunan International Airport,Sunan,KP
FNK,Fin Creek,,US
FNL,Municipalcipal Airport,,US
FNR,SPB,,US
FNT,Bishop International Airport,Flint,US
FNU,Fenosu,Palmas Arborea,IT
FOA,Foula,,GB
FOB,Fort Bragg,Fort Bragg,US
FOC,Changle International Airport,,CN
FOD,Fort Dodge Airport,Fort Dodge,US
FOE,Forbes Field,,US
FOG,Gino Lisa,,IT
FOK,Suffolk County,Westhampton,US
FOM,Foumban,Foumban,CM
FON,Fortuna Airport,Quesada,CR
FOO,Numfoor,Kameri,ID
FOP,Morris AAF,Forest Park,US
FOR,Pinto Martins Airport,Fortaleza,BR
FOS,Forrest,,AU
FOT,Forster,Dungog,AU
FOU,Fougamou,,GA
FOX,Fox,Salcha,US
FOY,Foya,Buedu,LR
FPO,Grand Bahama International Airport,Freeport,BS
FPR,St Lucie County,Fort Pierce,US
FPY,Perry-Foley,Perry,US
FRA,Frankfurt Airport,Kelsterbach,DE
FRB,Forbes,Forbes,AU
FRC,Franca,Franca,BR
FRD,Friday Harbor Airport,,US
FRE,Fera Island Airport,,SB
FRG,Republic Field,East Farmingdale,US
FRH,Municipal,French Lick,US
FRI,Marshall AAF,Fort Riley North,US
FRK,Fregate Island,,SC
FRL,Luigi Ridolfi,Forli,IT
FRM,Fairmont,Fairmont,US
FRN,Bryant AAF,Elmendorf Air Force Base,US
FRO,Flora Airport,Floro,NO
FRP,Fresh Water Bay,,US
FRQ,Feramin,,PG
FRR,Front Royal-Warren County,Front Royal,US
FRS,Santa Elena Airport,Flores,GT
FRT,Frutillar,Frutillar,CL
FRU,Manas International Airport,Bishkek,KG
FRW,Francistown Airport,Francistown,BW
FRY,Fryeburg,Fryeburg,US
FRZ,Fritzlar Airbase,Fritzlar,DE
FSC,Sud Corse Airport,Bonifacio,FR
FSD,Sioux Falls Regional Airport (Joe Foss Field),Sioux Falls,US
FSI,Henry Post AAF,,US
FSK,Municipal,Fort Scott,US
FSL,Fossil Downs,,AU
FSM,Fort Smith Regional Airport,Barling,US
FSN,Haley AAF,Buffalo Grove,US
FSP,Saint Pierre Airport,Saint-Pierre,PM
FSS,Kinloss,Kinloss,GB
FST,Pecos County,Fort Stockton,US
FSU,Fort Sumner,Fort Sumner,US
FSZ,Shizuoka Airport,Shimada,JP
FTA,Futuna Airport,,VU
FTE,El Calafate Airport,,AR
FTI,Fitiuta,,AS
FTK,Godman AAF,Fort Knox,US
FTL,Fortuna Ledge,,US
FTU,Marillac Airport,Fort Dauphin,MG
FTW,Meacham Field,,US
FTX,Owando,Owando,CG
FTY,Fulton County,Mableton,US
FUB,Fulleborn,,PG
FUE,Fuerteventura Airport,Puerto del Rosario,ES
FUG,Fuyang Airport,Fuyang,CN
FUJ,Fukue Airport,Fukuecho,JP
FUK,Fukuoka Airport,Fukuoka-shi,JP
FUL,Municipal,Buena Park,US
FUM,Fuma,,PG
FUN,Funafuti Atol International Airport,Fakaifou Village,TV
FUO,Fuoshan Airport,Guangzhou,CN
FUT,Futuna Island,Sigave,WF
FVL,Flora Valey,,AU
FVM,Fumawula,Fuvahmulah,MV
FVR,Forrest River Airport,,AU
FWA,Fort Wayne International Airport,Ossian,US
FWH,Fort Worth NAS Jrb/Carswell Field,,US
FWL,Farewell,,US
FWM,Heliport,Fort William,GB
FXE,Fort Lauderdale Executive Airport,Dania Beach,US
FXM,Flaxman Island,,US
FXO,Cuamba,Cuamba,MZ
FXY,Municipal,Forest City,US
FYJ,Fuyuan Dongji Airport,Fuyuan,CN
FYM,Municipal,Fayetteville,US
FYN,Fuyun Koktokay Airport,Kalatongke,CN
FYT,Faya,Faya-Largeau,TD
FYU,Fort Yukon Airport,,US
FYV,Municipal (Drake Field),Greenland,US
FZL,Fuzuli International Airport,Fuzuli,AZ
FZO,Filton,Almondsbury,GB
GAA,Guamal,Guamal,CO
GAB,Gabbs,,US
GAC,Gracias,Gracias,HN
GAD,Municipal,Attalla,US
GAE,Gabès Matmata International Airport,Gabes,TN
GAF,Gafsa,Gafsa,TN
GAG,Gage,Shattuck,US
GAH,Gayndah,Gayndah,AU
GAI,Montgomery County,Gaithersburg,US
GAJ,Junmachi Airport,Higashine,JP
GAK,Gakona,,US
GAL,Edward G. Pitka Sr. Airport,,US
GAM,Gambell Airport,,US
GAN,Gan/Seenu Airport,Hithadhoo,MV
GAO,Los Canos Airport,,CU
GAP,Gusap,,PG
GAQ,Gao,Gao,ML
GAR,Garaina,,PG
GAS,Garissa,,KE
GAT,Tallard,Gap,FR
GAU,Lokpriya Gopinath Bordoloi International Airport,Palasbari,IN
GAV,Gag Island,,ID
GAW,Gangaw,Hakha,MM
GAX,Gamba,,GA
GAY,Gaya Airport,Bodh Gaya,IN
GAZ,Guasopa,,PG
GBA,Big Bay,,VU
GBB,Gabala International Airport,Agdas,AZ
GBC,Gasuke,,PG
GBD,Great Bend,Great Bend,US
GBE,Sir Seretse Khama International Airport,Mmopone,BW
GBF,Negarbo,,PG
GBG,Galesburg,Galesburg,US
GBH,Galbraith Lake,,US
GBI,Auxiliary Airfield,Lucaya,BS
GBJ,Les Bases,Grand-Bourg,GP
GBK,Gbangbatok,Mogbwemo,SL
GBL,Goulburn Island,,AU
GBM,Garbaharey,Garbahaarrey,SO
GBO,Baltimore Greenbelt T,Catonsville,US
GBP,Gamboola,,AU
GBR,Walter J. Koladza Airport,Great Barrington,US
GBS,Port Fitzroy,,NZ
GBT,Gorgon Airport,Gorgan,IR
GBU,Khashm El Girba,,SD
GBV,Gibb River,,AU
GBW,Ginbata Airport,,AU
GBZ,Great Barrier Island,Coromandel,NZ
GCA,Guacamaya,Gigante,CO
GCC,Campbell County Airport,Gillette,US
GCD,Grand Coulee Dam,Coulee Dam,US
GCH,Gachsaran,Dogonbadan,IR
GCI,Guernsey Airport,,GG
GCJ,Grand Central,Germiston,ZA
GCK,Garden City Municipal Airport,Garden City,US
GCM,Owen Roberts International Airport,George Town,KY
GCN,National Park,,US
GCT,Grand Canyon Bar 10 Airport,,US
GCV,Gravatai,Gravatai,BR
GCW,Grand Canyon West,Meadview,US
GCY,Municipal,Greeneville,US
GDA,Gounda,,CF
GDB,Gondia Airport,Gondia,IN
GDC,Donaldson Center,Mauldin,US
GDD,Gordon Downs,,AU
GDE,Gode/Iddidole Airport,Yeed,ET
GDG,Magdagachi,Magdagachi,RU
GDH,Golden Horn Lodge SPB,,US
GDI,Gordil,,CF
GDJ,Gandajika,,CD
GDL,Don Miguel Hidal Y Costilla International Airport,El Quince,MX
GDM,Municipal,Gardner,US
GDN,Gdansk Lech Walesa Airport,Banino,PL
GDO,Vare Maria,Guasdualito,VE
GDP,Guadalupe,Sao Joao dos Patos,BR
GDQ,Gondar Airport,Gondar,ET
GDR,Angra dos Reis Airport,Angra dos Reis,BR
GDT,Grand Turk Island,,TC
GDV,Dawson Community Airport,West Glendive,US
GDW,Gladwin,Gladwin,US
GDX,Magadan Airport,Sokol,RU
GDZ,Gelendzik Airport,Gelendzhik,RU
GEA,Noumea Magenta Airport,Noumea,NC
GEB,Gebe,Petani,ID
GEC,Gecitkale,Lefkonoiko,CY
GED,Sussex County,Georgetown,US
GEE,George Town,,AU
GEF,Geva Airstrip,,SB
GEG,Spokane International Airport,Airway Heights,US
GEI,Green Islands,,PG
GEK,Ganes Creek,,US
GEL,Sepe Tiaraju,Santo Angelo,BR
GEM,President Obiang Nguema International Airport,Mongomo,GQ
GEO,Cheddi Jagan International Airport,Vreed-en-Hoop,GY
GER,Rafael Cabrera Airport,,CU
GES,General Santos International Airport,Buayan,PH
GET,Geraldton Airport,Geraldton,AU
GEV,Gallivare Airport,Gaellivare,SE
GEW,Gewoia,,PG
GEX,Geelong,Geelong West,AU
GEY,South Big Horn County,Greybull,US
GFA,Malmstrom AFB,,US
GFB,Togiak Fish,,US
GFD,Pope Field,Greenfield,US
GFE,Grenfell,Grenfell,AU
GFF,Griffith Airport,Griffith,AU
GFK,Grand Forks International Airport,Grand Forks,US
GFL,Warren County,Queensbury,US
GFN,Grafton Airport,South Grafton,AU
GFO,Bartica,,GY
GFR,Granville,Donville-les-Bains,FR
GFY,Grootfontein,Grootfontein,
GGB,Água Boa,Mozarlandia,BR
GGC,Lumbala,Zambezi,AO
GGD,Gregory Downs,,AU
GGE,Georgetown,Georgetown,US
GGF,Almeirim,,BR
GGG,Gregg County Airport,Longview,US
GGH,Gastão Mesquita Airport,Cianorte,BR
GGJ,Guaíra Airport,Salto del Guaira,BR
GGL,Gilgal,Acandi,CO
GGM,Kakamega Airport,Kakamega,KE
GGN,Gagnoa,Gagnoa,CI
GGO,Guiglo,Guiglo,CI
GGR,Garoe,,SO
GGS,Gobernador Gregores,Gobernador Gregores,AR
GGT,Exuma International Airport,George Town,BS
GGW,Glasgow International Airport,Glasgow,US
GHA,Noumerate Airport,Ghardaia,DZ
GHB,Governor's Harbour Airport,,BS
GHC,Great Harbour,,BS
GHE,Garachine,,PA
GHF,Giebelstadt,Giebelstadt,DE
GHK,Gahcho Kue Aerodrome,,CA
GHM,Municipal,Centerville,US
GHN,Guanghan,Guang'an,CN
GHS,Melak Airport,,ID
GHT,Ghat,Ghat,LY
GHU,Gualeguaychu,Gualeguaychu,AR
GHV,Brașov-Ghimbav International Airport,,RO
GIB,North Front Airport,Gibraltar,GI
GIC,Boigu Island,,AU
GID,Gitega,Gitega,BI
GIF,Gilbert Field,Inwood,US
GIG,Galeao Antonio Carlos Jobim International Airport,Duque de Caxias,BR
GII,Siguiri,Siguiri,GN
GIL,Gilgit Airport,Gilgit,PK
GIM,Miele Mimbale,,GA
GIR,Girardot,Girardot City,CO
GIS,Gisborne Airport,Gisborne,NZ
GIT,Geita,Geita,TZ
GIU,Sigiriya Slaf Base,Sigiriya,LK
GIY,Giyani,Giyani,ZA
GIZ,Jazan Regional Airport,Jizan,SA
GJA,Guanaja,Guanaja,HN
GJL,Jijel Ferhat Abbas Airport,Jijel,DZ
GJM,Guajara-Mirim,Guajara Mirim,BR
GJR,Gjogur,,IS
GJT,Grand Junction Regional Airport,Fruitvale,US
GKA,Goroka Airport,,PG
GKD,Gokceada,Gokceada,TR
GKE,Geilenkirchen,Geilenkirchen,DE
GKH,Gorkha,Lamjung,NP
GKK,Kooddoo Airport,,MV
GKL,Great Keppel Island,Yeppoon,AU
GKN,Gulkana,,US
GKO,Kongoboumba,Booue,GA
GKT,Gatlinburg,Sevierville,US
GLA,Glasgow International Airport,Inchinnan,GB
GLB,San Calos Apache,,US
GLC,Geladi,,ET
GLD,Renner Field,Goodland,US
GLE,Municipal,Gainesville,US
GLF,Golfito Airport,,CR
GLG,Glengyle,,AU
GLH,Greenville Airport,Metcalfe,US
GLI,Glen Innes,Glen Innes,AU
GLK,Galcaio,Gaalkacyo,SO
GLL,Klanten Airport,Gol,NO
GLM,Glenormiston,,AU
GLN,Goulimime Airport,Guelmim,MA
GLO,Gloucestershire,Gloucester,GB
GLP,Gulgubip,,PG
GLQ,Glennallen,,US
GLR,Otsego County,Gaylord,US
GLS,Scholes Field,Galveston,US
GLT,Gladstone Airport,,AU
GLU,Gelephu Airport,Sarpang,BT
GLV,Golovin Airport,,US
GLW,Municipal,Glasgow,US
GLX,Galela,,ID
GLY,Goldsworthy,,AU
GLZ,Gilze-Rijen,Breda,NL
GMA,Gemena,Gemena,CD
GMB,Gambela Airport,Gambela,ET
GMC,Guerima,Saint Peter Port,CO
GMD,Ben Slimane,Bouznika,MA
GME,Gomel Airport,Gomel,BY
GMI,Gasmata Island,,PG
GMM,Gamboma,Gamboma,CG
GMN,Greymouth,Greymouth,NZ
GMO,Gombe Lawanti International Airport,Akko,NG
GMP,Gimpo International Airport,Bucheon-si,KR
GMQ,Golog Maqin Airport,Dawu,CN
GMR,Gambier Island,,PF
GMS,Guimaraes,Bequimao,BR
GMT,Granite Mountain,,US
GMU,Greenville Downtown,Greenville,US
GMV,Monument Valley,,US
GMZ,La Gomera Airport,Alajero,ES
GNA,Grodno Airport,Hrodna,BY
GNB,Grenoble-Isere Airport,Saint-Etienne-de-Saint-Geoirs,FR
GND,Maurice Bishop International Airport,Saint George's,GD
GNF,Gansner Field,Charleston,US
GNG,Gooding,Gooding,US
GNI,Green Island,Taitung,TW
GNJ,Ganja International Airport,Ganja,AZ
GNM,Guanambi,Guanambi,BR
GNN,Ghinnir,Ginir,ET
GNR,General Roca,Sierra Colorada,AR
GNS,Gunungsitoli Airport,,ID
GNT,Milan,Grants,US
GNU,Goodnews Bay,,US
GNV,Gainesville Regional Airport,Gainesville,US
GNY,Sanliurfa GAP Airport,,TR
GNZ,Ghanzi,Ghanzi,BW
GOA,Genoa Cristoforo Colombo Airport,San Teodoro,IT
GOB,Goba,,ET
GOC,Gora,,PG
GOE,Gonalia,,PG
GOF,Goodfellow AFB,,US
GOG,Gobabis,,
GOH,Nuuk Airport,Nuuk,GL
GOI,Dabolim Airport,Chicalim,IN
GOJ,Nizhny Novgorod International Airport,Gorbatovka,RU
GOK,Guthrie,Guthrie,US
GOL,State,Gold Beach,US
GOM,Goma Airport,Goma,CD
GON,New London,Long Hill,US
GOO,Goondiwindi,Goondiwindi,AU
GOP,Gorakhpur Airport,Gorakhpur,IN
GOQ,Golmud Airport,Guolemude,CN
GOR,Gore,Gore,ET
GOS,Gosford,East Gosford,AU
GOT,Goteborg Landvetter Airport,Landvetter,SE
GOU,Garoua Airport,Garoua,CM
GOV,Nhulunbuy Airport,,AU
GOX,Mopa Airport,Mopa,IN
GOY,Tura Airport,,RU
GOZ,Gorna Oriahovitsa,Gorna Oryakhovitsa,BG
GPA,Araxos Airport,Patra,GR
GPB,Tancredo Thomaz Faria,Guarapuava,BR
GPD,Mount Gordon Mine,,AU
GPI,Guapi Airport,,CO
GPL,Guapiles,Guapiles,CR
GPN,Garden Point,Nightcliff,AU
GPO,General Pico,General Pico,AR
GPS,Baltra Airport,Puerto Ayora,EC
GPT,Gulfport-Biloxi International Airport,West Gulfport,US
GPZ,Grand Rapids,Grand Rapids,US
GQQ,Galion,Galion,US
GRA,Gamarra,Gamarra,CO
GRB,Austin Straubel International Airport,Ashwaubenon,US
GRC,Grand Cess,,LR
GRD,Greenwood,Greenwood,US
GRE,Municipal,Greenville,US
GRF,Gray AAF,Fort Lewis,US
GRG,Gardez,Gardez,AF
GRH,Garuahi,,PG
GRI,Grand Island Airport,Grand Island,US
GRJ,George Airport,George,ZA
GRK,Robert Gray Army Airfield,Fort Hood,US
GRL,Garasa,,PG
GRM,Devils Track,Newberry,US
GRN,Gordon,Gordon,US
